C1,C2,C3,C4,C5,C6
Define what “traumatic memory” means in cultural studies.,Traumatic memory & representation of violence,Apply the concept of traumatic memory to interpret a scene from a chosen novel or film.,"Analyze how two different media (e.g., memoir vs. film) portray traumatic memory in contrasting ways.","Evaluate which medium—fiction, film, or memorials—most effectively conveys suffering, and justify your view.",Create a comparative framework for assessing representations of violence across three different media.
List the main contemporary forms of environmental governance.,Environmental governance,Apply one governance approach to propose a solution to a local pollution problem.,Analyze the strengths and weaknesses of two modern governance models.,Evaluate the effectiveness of current environmental governance in addressing climate change.,Design an innovative governance model that incorporates indigenous ecological perspectives.
Identify key modes of travel writing.,Travel & representation,Apply concepts of travel representation to analyze a travel blog or documentary.,Compare how two forms of travel representation construct cultural difference.,Evaluate the ethical implications of travel narratives in shaping perceptions of other cultures.,Create a short conceptual outline for a travel narrative that avoids stereotypical representation.
Recall major cultural groups that form part of contemporary Australian society.,Cultural diversity in contemporary Australia,Apply concepts of multiculturalism to interpret a real-world Australian social scenario.,Analyze tensions between cultural diversity and national identity in Australia.,Evaluate Australia's policy approaches to cultural diversity in terms of inclusivity.,Propose a cultural initiative that promotes mutual understanding across Australian communities.
Name the three elements of the criminal justice system.,Criminal justice system functioning,Apply the process model of criminal justice to a sample case scenario.,Analyze how the three components interact during a criminal investigation.,Evaluate the fairness and efficiency of the current criminal justice process.,Design a reform plan to improve coordination among the three criminal justice components.
Define “sensible form” in art theory.,Sensible form in art theory,Apply the idea of sensible form to interpret a selected artwork.,Analyze how sensible form contributes to meaning-making in modern art.,Evaluate the relevance of sensible form in contemporary aesthetic theory.,Create a theoretical model that integrates sensible form with digital and interactive art.
List major historical disasters that influenced global society.,Role of disasters in global society,Apply disaster impact theory to analyze a recent global crisis.,Analyze how specific disasters have shaped political or economic structures.,Evaluate the extent to which global society has learned from past disasters.,Develop a global framework for disaster education that draws on historical lessons.
Identify common types of crime discussed in African criminological studies.,Crime in African context,Apply criminological theories to interpret a crime trend in a specific African region.,"Analyze social, economic, and political factors contributing to crime in an African context.",Evaluate the effectiveness of crime-prevention strategies used by African governments.,Design a community-based crime-prevention program tailored to an African urban setting.
Recall major historical interpretation approaches.,Interpretations in historical & contemporary analysis,Apply one interpretive framework to analyze a contemporary issue.,Analyze differences between two interpretations of the same historical phenomenon.,Evaluate which interpretive model provides the most accurate understanding of a selected event.,Develop a synthesized interpretive model combining historical and contemporary perspectives.
Define “historiography.”,Society & historiography,Use historiographical methods to interpret a historical narrative.,Analyze different historiographical debates about one chosen society.,Evaluate the strengths and limitations of existing historiographical accounts.,Create a new historiographical argument about the development of the society.
Recall the basic components of social identity.,Social identities,Apply the concept of social identity to analyze a case of interpersonal conflict.,Analyze how social identities are constructed in a multicultural environment.,Evaluate how social identity awareness influences group dynamics.,Create a reflective model for fostering positive social identity development.
Identify the definitions of modernity and tradition.,"Modernity, tradition, authenticity & copyright",Apply the concept of authenticity to evaluate a culturally significant artifact.,Analyze the conflict between cultural ownership and copyright law.,Evaluate whether current copyright law sufficiently protects traditional cultural expressions.,"Propose a new legal or cultural framework addressing ownership, authenticity, and creative rights."
Environmental problems solved with GIS,Explain why GIS is suitable for solving certain environmental problems.,"Apply GIS tools to address a simple environmental issue (e.g., mapping pollution sources).",Analyze how GIS-based and non-GIS approaches differ in solving an environmental problem.,Evaluate the effectiveness of GIS in managing environmental risks in a chosen scenario.,Design a GIS-based environmental monitoring plan for a specific region.
Socio-cultural & historical influences on jazz,Describe how major historical events influenced the evolution of jazz.,Apply your understanding to interpret how a jazz piece reflects its socio-cultural context.,Analyze the influence of two different socio-cultural trends on jazz development.,Evaluate which socio-cultural force had the greatest impact on jazz and justify your reasoning.,Create a conceptual timeline showing how jazz would evolve under an alternative socio-cultural history.
Family provision claim eligibility,Explain the criteria for eligibility in a family provision claim.,Apply legal criteria to determine eligibility in a hypothetical case.,Analyze how courts handle disputes in contested family provision cases.,Evaluate the fairness of the legal process for family provision claims.,Draft a revised model for assessing eligibility and court procedures.
Significant issue in contemporary social sciences,Explain why the issue is significant in modern social sciences.,Apply relevant theories to interpret the issue in a practical context.,Analyze different academic perspectives regarding the issue.,Evaluate which theoretical approach best explains the issue.,Design a research proposal addressing a gap related to the issue.
Family violence in healthcare,Explain common signs of family violence in clinical settings.,Apply best-practice guidelines to a case involving suspected family violence.,Analyze how patient presentation changes across different types of family violence cases.,Evaluate the effectiveness of current physiotherapy guidelines for managing family violence disclosures.,Develop an improved clinical protocol for physiotherapists responding to family violence.
Clinical leadership goals,Explain why clinical leadership goals are important for professional growth.,Apply leadership frameworks to develop your own leadership action plan.,Analyze barriers that may prevent achieving clinical leadership goals.,Evaluate your progress toward leadership goals using defined criteria.,Create a long-term leadership development pathway for your clinical practice.
Employment law in domestic/international commerce,Explain why employment law issues arise in commercial environments.,Apply employment law principles to a domestic or international case scenario.,Analyze differences between domestic and international employment law conflicts.,Evaluate the adequacy of current employment regulations in protecting workers in global commerce.,Create a policy guideline for preventing employment law disputes in multinational firms.
Personal prejudice and patient care,Describe how personal biases can affect patient interactions.,Apply strategies to reduce bias in clinical decision-making.,Analyze how personal and systemic prejudices contribute to health disparities.,Evaluate the impact of anti-bias interventions in improving patient outcomes.,Develop a bias-reduction training module for healthcare professionals.
Ethical issues in psychology research,Explain why ethical issues commonly arise in psychological research.,Apply ethical principles to evaluate a sample research proposal.,Analyze conflicts between scientific goals and ethical responsibilities.,Evaluate the effectiveness of current ethical guidelines in protecting study participants.,Create an ethical decision-making framework for psychological researchers.
Facts about the Korean peninsula,Describe key historical and cultural developments in Korea.,Apply background knowledge to interpret a cultural or political event involving Korea.,Analyze how historical events shaped contemporary Korean society.,Evaluate the global significance of Korea’s cultural and political evolution.,Create a multimedia presentation illustrating Korea’s sociohistorical transformation.
Critical positions in contemporary film theory,Explain the main ideas behind several critical film theory positions.,Apply one theoretical position to interpret a chosen film scene.,Compare and analyze two film theory approaches in terms of explanatory power.,Evaluate which film theory best addresses the complexities of contemporary cinema.,Develop a new theoretical lens synthesizing multiple positions in film theory.
Breadth & applicability of statistical tests,Summarize when different statistical tests should be used.,Apply appropriate statistical tests to a provided dataset.,Analyze why certain tests are more suitable for specific research designs.,Evaluate the limitations of commonly used statistical tests in research applications.,Develop a decision-making flowchart for selecting statistical tests.
Ultrasound limitations & scanning modifications,Explain why modifications are needed for different ultrasound contexts.,Apply modified scanning techniques to clinical case examples.,Analyze the limitations of ultrasound for different anatomical regions.,Evaluate which imaging modality is most appropriate when ultrasound limitations occur.,Propose innovative scanning procedures to overcome current ultrasound constraints.
Sociohistorical context of changes,Explain the sociohistorical factors behind the changes.,Apply context-based interpretation to a chosen example.,Analyze how sociohistorical forces interacted to cause the change.,Evaluate the long-term significance of these changes.,Construct a sociohistorical model predicting future developments.
Community & community-based resources,Explain the role of community resources in sustainability.,Apply community-development principles to design a sustainability activity.,Analyze strengths and weaknesses of existing community-based educational resources.,Evaluate the effectiveness of community-based approaches for sustainable education.,Create a community-engagement framework for long-term educational sustainability.
Identify common quality improvement methods in nursing.,Describe why certain nursing practices may require improvement.,Apply a quality-improvement tool to a simple nursing scenario.,Analyse evidence for a nursing practice needing quality improvement,Evaluate the effectiveness of existing evidence supporting a nursing intervention.,Design a quality improvement plan for a specific nursing practice.
Define what a digital terrain model (DTM) is.,Explain how DTMs represent landform data.,Apply GIS tools to generate a catchment boundary.,Analyse digital terrain models & catchments,Evaluate the accuracy of different terrain models.,Create a hydrological model using terrain data.
Recall typical psychosocial effects of visible scars.,Explain how scars may influence emotional well-being.,Apply a psychosocial assessment tool to a scar-related case.,Investigate psychosocial impact of scars on quality of life,Evaluate the adequacy of current support strategies for individuals with significant scarring.,Develop a comprehensive psychosocial intervention plan.
List factors in the international business environment.,Explain how global factors influence organisations.,Apply internationalisation theories to a company case.,Examine how the international business environment affects internationalisation,Evaluate which environmental factors most strongly affect internationalisation success.,Create an internationalisation strategy for a chosen organisation.
Identify common pedagogical approaches for adolescents.,Explain how adolescent learners differ from other groups.,Apply a selected teaching strategy in a simulated classroom.,Implement & reflect on pedagogical approaches for adolescent learners,Evaluate which pedagogical approaches best support adolescent engagement.,Create a teaching module tailored to adolescent learners.
Recall common stress-management strategies.,Explain the effects of stress and fatigue on health.,Apply a stress-management technique to a given scenario.,Analyse strategies for managing stress & fatigue,Evaluate the effectiveness of various stress-reduction interventions.,Create a personalised stress-management program.
Identify basic reactor types in chemical engineering.,Describe how variables affect reactor behaviour.,Apply reactor models to solve simple reaction problems.,Analyse behaviour of complicated reactors,Evaluate the performance of different reactor configurations.,Design a reactor system suited for a specific industrial reaction.
Recall main roles of HR in organisations.,Explain how HR practices influence business performance.,Apply HR frameworks to a company case.,Analyse & evaluate HR contributions to competitive advantage,Critically judge the strategic value of HR initiatives.,Develop an HR strategy that enhances competitive advantage.
Identify common abstract data types.,Explain the purpose of each ADT.,Implement basic versions of ADTs in a programming language.,Summarise & compare properties of abstract data types,Evaluate which ADT is most efficient for a given problem.,Create an optimised data structure combining features of multiple ADTs.
Identify common challenges in translation.,Explain why collaboration changes translation dynamics.,Apply translation strategies to a short text.,Analyse & solve translation problems in collaborative translation,Evaluate the effectiveness of collaborative translation tools.,Create a workflow for collaborative translation teams.
Recall steps of systematic problem solving.,Explain why structured problem analysis is important.,Apply a problem-solving method to a simple case.,Analyse a real problem & report results,Evaluate the quality of a problem-analysis report.,Create a comprehensive problem-analysis report for a new issue.
